"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18"
"ENSG00000120262",15.95,20.98,18,21,14.97,17,15.48,15.62,5,18.88,19,23,17,10.92,7,17,11.8,8
"ENSG00000120265",208,216,294.99,291.09,365.01,287.02,113,68,73,225.96,241,266.01,348.46,344,216,233,241,144
"ENSG00000120278",52,91,100.89,76,70.99,58.98,26,36,22,73,78,79,133,143,77,57,38.01,38
"ENSG00000120279",0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,3,3,7
"ENSG00000120280",11,1,1,0,0,1,5,4,7,0,0,3,12,14,3,8,3,7
"ENSG00000120289",2,1,1,0,0,0,2,4,0,1,0,0,1,2,2,0,0,0
"ENSG00000120306",135.97,191,264.21,353.09,414.01,331.97,92.99,65,32,249,281,319,237,231,120,264.06,172.01,146
"ENSG00000120314",53,77,122.94,117,144.36,114,41,26,41,128.21,133.96,141,143,120.01,96,102,123.58,107
"ENSG00000120318",9,5,4,4,4,14,7,10,3,7,7,5,8,12,19,8,11,10
"ENSG00000120322",0,0,0,1.35,0,0,0,5.62,0,0,0.33,0,0,0.52,0,1.49,0,0
"ENSG00000120324",3.62,0,3.65,0,0,0,3.35,0,1.83,2.29,1.07,1.04,5.91,5.11,2.9,1.21,0,1
"ENSG00000120327",5.59,8,18.37,8,3,4.63,4.26,3.39,12,15,10,12,17.96,16,11.27,2.56,3,2
"ENSG00000120328",6,6,2.04,2,1,1,7.26,5,3,3.02,4,2,3,4,3,0,1,3
"ENSG00000120329",1,2,2,2,1,1,2,0,0,0,2,2,6,3,2,1,0,0
"ENSG00000120332",3,3,3,3,2,1,6,7.53,0,3,1,4,3,2,2,1,1,1
"ENSG00000120333",37,55,65.75,68,57,59,20,19,21,53,56,66,94.1,72,31.18,44,50.99,42
"ENSG00000120334",10,20,24,17,25,18,7,15,7,16,17.01,24.25,29,22,7,9,31,21
"ENSG00000120337",2,1,1,0,1,1,4,3,0,0,1,2,2,2,0,1,2,1
"ENSG00000120341",39.24,120.56,139.87,163.1,115.57,190.13,52.75,34.43,5.19,131.5,157.87,236.36,207.64,198.33,154.45,95.04,59.25,81.94
"ENSG00000120370",64.39,76,97.69,80,74.92,56,43,27,13,75,78,85.94,137.02,106,75,38,31,40
"ENSG00000120436",0,1,0,0,0,0,4,1,1,0,0,0,1,1,1,0,0,0
"ENSG00000120437",298,362.32,426.97,306.6,278.03,254.41,138.57,107,148,397.01,417,375.05,1279.35,1065.99,477.68,333.07,330,307
"ENSG00000120438",501.3,527.01,709.36,607.09,728.05,589.48,245.2,164.95,139.05,568.1,601.42,611.87,681.01,663.63,402.06,564.98,506.1,442.13
"ENSG00000120440",1,1,2,0,0,0,3,2,0,1,0,0,1,2,0,0,0,0
"ENSG00000120451",211.01,316.84,380.5,474.79,420.77,357.33,99.49,91.71,59.78,366.55,395.74,426.65,416.87,352.41,252.86,249.06,259.55,208.81
"ENSG00000120457",12,6,7,3,3,4,13,20,8,1,0,0,43,63,26,25,7,18
"ENSG00000120458",18,30,32.02,14,14.98,11,10,10,5,16,30,23.28,28,25,15,14,17,19
"ENSG00000120471",1,0,3,1,0,0,2,2,3,0,0,0,2,1,1,0,0,0
"ENSG00000120498",0,1,1,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0
"ENSG00000120500",1,1,2,0,3,0,5,3,0,1,0,0,0,1,0,0,0,0
"ENSG00000120509",48,48,57,73.67,97.19,87,24.04,14,6,78.86,70.94,63,75,53,29,66,44,40
"ENSG00000120519",18,18,33,34,33,18,12,13,13,34,45,41,46,41,21,29,27,14
"ENSG00000120526",54,50,63,41,73.98,39,22,27,12,48,69,61,76,65.01,38,58,41,35
"ENSG00000120533",135.27,140.98,168.41,143,173.02,154.99,42.91,59,59.85,146,149,160.95,209.96,160,110,105,125,114
"ENSG00000120539",25,21,42.98,33,43,31,14,9,10,38,33,30,56.88,50.9,41,39,37,38
"ENSG00000120549",274.86,351.01,438.03,721.02,648.79,652.73,200.97,128,111,635.62,693.01,760.76,613.96,527.98,352,450.99,433,447.68
